Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"12957"	""	619522572	726789725	680890844	663865787
"12958"	""	619527162	726795140	680902453	663872123
"12959"	""	619531752	726800555	680914061	663878458
"12960"	""	619536341	726805964	680925662	663884793
"12961"	""	619540930	726811373	680937261	663891127
"12962"	""	619545518	726816782	680948858	663897458
"12963"	""	619550104	726822189	680960454	663903787
"12964"	""	619554690	726827591	680972048	663910113
"12965"	""	619559276	726832992	680983642	663916438
"12966"	""	619563860	726838390	680995235	663922761
"12967"	""	619568444	726843787	681006824	663929080
"12968"	""	619573027	726849184	681018410	663935399
"12969"	""	619577608	726854579	681029996	663941717
"12970"	""	619582189	726859973	681041579	663948035
"12971"	""	619586769	726865362	681053161	663954351
"12972"	""	619591348	726870750	681064730	663960666
"12973"	""	619595926	726876137	681076299	663966980
"12974"	""	619600503	726881524	681087867	663973293
"12975"	""	619605074	726886908	681099431	663979603
"12976"	""	619609645	726892292	681110993	663985911
"12977"	""	619614215	726897674	681122555	663992214
"12978"	""	619618784	726903053	681134114	663998517
"12979"	""	619623352	726908429	681145673	664004819
"12980"	""	619627917	726913798	681157230	664011120
"12981"	""	619632481	726919167	681168786	664017421
"12982"	""	619637045	726924532	681180342	664023719
"12983"	""	619641607	726929896	681191896	664030017
"12984"	""	619646169	726935254	681203442	664036313
"12985"	""	619650730	726940610	681214987	664042609
"12986"	""	619655290	726945964	681226530	664048904
"12987"	""	619659848	726951316	681238073	664055196
"12988"	""	619664402	726956664	681249615	664061488
"12989"	""	619668956	726962008	681261157	664067779
"12990"	""	619673509	726967352	681272699	664074067
"12991"	""	619678062	726972695	681284240	664080355
"12992"	""	619682614	726978036	681295778	664086640
"12993"	""	619687166	726983371	681307316	664092925
"12994"	""	619691717	726988705	681318853	664099209
"12995"	""	619696265	726994032	681330383	664105492
"12996"	""	619700805	726999357	681341908	664111775
"12997"	""	619705342	727004680	681353432	664118055
"12998"	""	619709877	727010002	681364956	664124333
"12999"	""	619714411	727015322	681376480	664130607
"13000"	""	619718942	727020639	681388004	664136881
"13001"	""	619723472	727025955	681399523	664143151
"13002"	""	619727999	727031270	681411032	664149420
"13003"	""	619732526	727036583	681422541	664155689
"13004"	""	619737051	727041896	681434047	664161957
"13005"	""	619741576	727047208	681445550	664168224
"13006"	""	619746100	727052518	681457052	664174491
"13007"	""	619750624	727057827	681468554	664180755
"13008"	""	619755144	727063135	681480055	664187019
"13009"	""	619759664	727068439	681491553	664193282
"13010"	""	619764183	727073741	681503050	664199544
"13011"	""	619768701	727079043	681514547	664205806
"13012"	""	619773218	727084345	681526042	664212066
"13013"	""	619777734	727089647	681537534	664218322
"13014"	""	619782250	727094947	681549026	664224574
