Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"4812"	""	481722347	552686787	732423166	474774211	626217602	244720840	503731257	682893634
"4813"	""	481761207	552735014	732441275	474821262	626261313	244752007	503775425	682912214
"4814"	""	481800063	552783241	732459379	474868313	626305006	244783166	503819590	682930777
"4815"	""	481838917	552831460	732477471	474915354	626348694	244814319	503863729	682949311
"4816"	""	481877759	552879672	732495554	474962393	626392365	244845471	503907862	682967836
"4817"	""	481916599	552927867	732513627	475009423	626436025	244876617	503951975	682986355
"4818"	""	481955429	552976050	732531689	475056444	626479670	244907761	503996087	683004869
"4819"	""	481994251	553024225	732549750	475103459	626523285	244938902	504040182	683023370
"4820"	""	482033039	553072397	732567795	475150460	626566887	244970043	504084240	683041852
"4821"	""	482071826	553120569	732585824	475197459	626610430	245001183	504128288	683060317
"4822"	""	482110607	553168734	732603852	475244457	626653973	245032318	504172329	683078773
"4823"	""	482149370	553216889	732621871	475291453	626697483	245063451	504216354	683097221
"4824"	""	482188128	553265035	732639883	475338444	626740980	245094568	504260368	683115660
"4825"	""	482226879	553313171	732657884	475385433	626784453	245125682	504304358	683134092
"4826"	""	482265624	553361304	732675871	475432420	626827922	245156794	504348336	683152522
"4827"	""	482304359	553409420	732693854	475479399	626871388	245187905	504392301	683170948
"4828"	""	482343083	553457520	732711828	475526359	626914841	245219009	504436260	683189362
"4829"	""	482381806	553505620	732729771	475573312	626958292	245250112	504480216	683207762
"4830"	""	482420517	553553715	732747688	475620255	627001728	245281206	504524140	683226161
"4831"	""	482459216	553601805	732765598	475667179	627045156	245312297	504568059	683244552
"4832"	""	482497873	553649890	732783505	475714096	627088564	245343380	504611959	683262935
"4833"	""	482536520	553697972	732801380	475761012	627131955	245374463	504655848	683281314
"4834"	""	482575165	553746054	732819254	475807920	627175336	245405541	504699724	683299678
"4835"	""	482613794	553794116	732837128	475854820	627218694	245436613	504743595	683318036
"4836"	""	482652414	553842173	732854999	475901706	627262030	245467684	504787464	683336394
"4837"	""	482691032	553890222	732872869	475948589	627305362	245498748	504831299	683354746
"4838"	""	482729641	553938261	732890697	475995469	627348691	245529812	504875133	683373093
"4839"	""	482768233	553986299	732908519	476042346	627392007	245560875	504918967	683391431
"4840"	""	482806823	554034301	732926341	476089220	627435317	245591936	504962782	683409758
"4841"	""	482845410	554082294	732944163	476136071	627478612	245622997	505006592	683428075
"4842"	""	482883997	554130257	732961960	476182894	627521894	245654054	505050376	683446381
"4843"	""	482922578	554178217	732979753	476229715	627565163	245685106	505094160	683464685
"4844"	""	482961140	554226176	732997540	476276532	627608410	245716153	505137939	683482977
"4845"	""	482999696	554274108	733015304	476323348	627651654	245747200	505181708	683501252
"4846"	""	483038249	554322040	733033064	476370159	627694883	245778247	505225466	683519476
"4847"	""	483076793	554369971	733050814	476416962	627738099	245809290	505269218	683537699
"4848"	""	483115330	554417891	733068555	476463742	627781282	245840332	505312961	683555892
